a war	Cx=219340038	Bx=801301707
war a	Cy=219340038	By=801301707
aa war	Cx=221363	Bx=876134
war aa	Cy=221363	By=876134
abandon war	Cx=173229	Bx=544511
abandoned war	Cx=356933	Bx=1164532
war abandoned	Cy=356933	By=1164532
abandoning war	Cx=50491	Bx=180499
war abated	Cy=17962	By=52608
abenaki war	Cx=601	Bx=6045
abend war	Cx=1996	Bx=16009
aber war	Cx=19651	Bx=56603
war aber	Cy=19651	By=56603
abetted war	Cx=11481	Bx=33565
abetting war	Cx=5015	Bx=16341
abhor war	Cx=11107	Bx=26379
abhorred war	Cx=12503	Bx=28742
war abhorrent	Cy=9168	By=28316
abhorring war	Cx=1365	Bx=2400
abhors war	Cx=5795	Bx=14183
abjure war	Cx=5227	Bx=10732
abjured war	Cx=4070	Bx=6803
able war	Cx=2528181	Bx=9440524
war able	Cy=2528181	By=9440524
ablest war	Cx=25509	Bx=30941
war ably	Cy=28761	By=58748
abnormal war	Cx=243162	Bx=1423690
war abnormal	Cy=243162	By=1423690
war aboard	Cy=139480	By=459650
abolish war	Cx=61868	Bx=146993
abolished war	Cx=124636	Bx=293551
war abolished	Cy=124636	By=293551
abolishes war	Cx=6446	Bx=20982
abolishing war	Cx=25644	Bx=61832
abolition war	Cx=130623	Bx=272988
abolitionist war	Cx=27727	Bx=91832
war abolitionist	Cy=27727	By=91832
war abolitionists	Cy=37941	By=86960
abominable war	Cx=24999	Bx=54258
abominate war	Cx=1328	Bx=2357
aboriginal war	Cx=36972	Bx=149162
abortion war	Cx=80621	Bx=1234343
abortive war	Cx=39644	Bx=87765
war abound	Cy=38931	By=142677
war abounded	Cy=14938	By=41355
war abounds	Cy=20675	By=51778
about war	Cx=14352308	Bx=60547120
war about	Cy=14352308	By=60547120
above war	Cx=3729638	Bx=11456080
war above	Cy=3729638	By=11456080
war abraham	Cy=235227	By=895748
war abroad	Cy=436204	By=1072867
war abrogated	Cy=12280	By=30948
war abrogates	Cy=882	By=3794
war abruptly	Cy=106729	By=389434
absence war	Cx=784577	Bx=2939600
absent war	Cx=299388	Bx=1087909
war absent	Cy=299388	By=1087909
absicht war	Cx=536	Bx=1672
absolute war	Cx=755067	Bx=2165331
war absolute	Cy=755067	By=2165331
war absolutely	Cy=373595	By=1220745
war absorbed	Cy=301110	By=953267
absorbing war	Cx=76956	Bx=223539
war absorbs	Cy=30626	By=103467
abstract war	Cx=418418	Bx=1647343
war abstract	Cy=418418	By=1647343
absurd war	Cx=177510	Bx=428233
abundant war	Cx=188915	Bx=544766
war abundantly	Cy=49508	By=103752
abuse war	Cx=146368	Bx=2767197
abyssinian war	Cx=7854	Bx=15297
academic war	Cx=538471	Bx=2934055
war academic	Cy=538471	By=2934055
war academies	Cy=35245	By=82140
war academy	Cy=392285	By=1533888
accelerated war	Cx=116805	Bx=452815
war accelerated	Cy=116805	By=452815
war accelerates	Cy=12637	By=58679
accelerating war	Cx=42059	Bx=153392
war accentuated	Cy=37467	By=103618
war accentuates	Cy=6254	By=24425
accept war	Cx=953719	Bx=3183965
war accept	Cy=953719	By=3183965
acceptable war	Cx=304942	Bx=1540217
war acceptable	Cy=304942	By=1540217
accepted war	Cx=1104012	Bx=3317990
war accepted	Cy=1104012	By=3317990
accepting war	Cx=185724	Bx=722426
accepts war	Cx=115363	Bx=427564
war accepts	Cy=115363	By=427564
war accident	Cy=364340	By=1358392
